ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
832,"8/14采购""SPACE IX飞天小女警收藏卡系列 《飞天小女警-第二弹》""",咸鱼,PowerPuff GirlSPACE IX飞天小女警收藏卡系列《飞天小女警-第二弹》,6194000,6194000,0,2025-08-14
831,8/15采购卡时代海贼王,咸鱼,H?i Trình M?ng ?o卡时代海贼王,6840000,6840000,0,2025-08-15
830,8/19采购欧梦文创鬼灭,咸鱼,Di?t Qu? B?n Tr?ng欧梦文创鬼灭/,8184896,8184896,0,2025-09-19
829,8/19采购皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,咸鱼,Di?t Qu? VHT ver 2皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,42180000,42180000,0,2025-08-19
828,8/19采购乐宝文创鬼灭,咸鱼,Di?t Qu? V? ?i?u H?a Th?n乐宝文创鬼灭,4408000,4408000,0,2025-08-19
827,8/19采购霞云之海鬼灭,咸鱼,Di?t Qu? Bi?n D??ng V? T?n 霞云之海鬼灭,4180000,4180000,0,2025-08-19
826,8/20采购玛卡文创“宿命终章·《鬼灭之刃无限城篇》,咸鱼,Di?t Qu? Phong Th? ?en V2玛卡文创“宿命终章·《鬼灭之刃无限城篇》,5852000,5852000,0,2025-08-20
825,8/22采购西瓜社【鬼灭之刃】第二弹,咸鱼,Di?t Qu? Phong Th? Tr?ng V2西瓜社【鬼灭之刃】第二弹,11970000,11970000,0,2025-08-22
824,8/22采购ET文创火影色纸,咸鱼,Naruto B?n Phong Th?ET文创火影色纸,3800000,3800000,0,2025-08-22
823,8/25采购柯南觅影包第3弹 2元包,咸鱼,Conan V3柯南觅影包第3弹 2元包,16793568,16793568,0,2025-08-25
822,8/27采购卡酷文创鬼灭色纸,咸鱼,Di?t Qu? Combo卡酷文创鬼灭色纸,4560000,4560000,0,2025-08-27
821,8/29采购酷咔文创-【鬼灭之刃】第一弹高透亚克力卡砖,咸鱼,Di?t Qu? Th? MICA酷咔文创-【鬼灭之刃】第一弹高透亚克力卡砖,3040000,3040000,0,2025-08-29
820,8/29采购玛卡文创“宿命终章·《鬼灭之刃无限城篇》,咸鱼,Di?t Qu? Phong Th? ?en V2玛卡文创“宿命终章·《鬼灭之刃无限城篇》,22800000,22800000,0,2025-09-29
819,8/29采购ET文创火影色纸,咸鱼,Naruto B?n Phong Th?ET文创火影色纸,3648000,3648000,0,2025-08-29
818,8/29采购向楠工作室《鬼灭之刃》高透亚克力水晶砖,咸鱼,Di?t Qu? Th? Th?y Tinh向楠工作室《鬼灭之刃》高透亚克力水晶砖,6080000,6080000,0,2025-08-29
817,8/31采购初卡-「鬼灭之刃系列收藏卡」,咸鱼,Di?t Qu? Khu?t Ph?c M?t Tr?i初卡-「鬼灭之刃系列收藏卡」,5700000,5700000,0,2025-08-31
816,8/31采购骏卡鬼灭,咸鱼,Di?t Qu? B?n ??c Bi?t (+)骏卡鬼灭,4788000,4788000,0,2025-08-31
815,9/2采购YAMI文创鬼灭之刃收藏卡第四弹,咸鱼,Diêt Qu? B?n ?ng TreYAMI文创鬼灭之刃收藏卡第四弹,12160000,12160000,0,2025-09-02
814,9/2采购魔玩社-鬼灭之刃亚克力魔方,咸鱼,Di?t Qu? Kh?i L?p Ph??ng魔玩社-鬼灭之刃亚克力魔方,4560000,4560000,0,2025-09-02
813,9/2采购【雷沃文创】鬼灭之刃水晶砖,咸鱼,Kimistu th?y tinh ver 2【雷沃文创】鬼灭之刃水晶砖,2394000,2394000,0,2025-09-02
812,9/2采购春风文创鬼灭吧唧第5弹,咸鱼,Huy hi?u v? h?n thành春风文创鬼灭吧唧第5弹,10830000,10830000,0,2025-09-02
811,9/2采购绘卷文创 - 梦境入画【鬼灭之刃系列收藏卡砖】,咸鱼,Kimetsu No Yaiba - Khung Th? ??c Bi?t绘卷文创 - 梦境入画【鬼灭之刃系列收藏卡砖】,6460000,6460000,0,2025-09-02
810,9/6采购无限文创鬼灭方色纸羁绊1,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,27740000,27740000,0,2025-09-06
809,9/6采购无限文创鬼灭方色纸羁绊2,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,29260000,29260000,0,2025-09-06
808,9/7采购无限文创鬼灭方色纸羁绊,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,53200000,53200000,0,2025-09-07
807,9/7采购无限文创鬼灭方色纸羁绊,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,53200000,0,53200000,2025-09-07
806,9/6采购无限文创鬼灭方色纸羁绊2,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,29260000,0,29260000,2025-09-06
805,9/6采购无限文创鬼灭方色纸羁绊1,咸鱼,KYN phong th? vu?ng无限文创鬼灭方色纸羁绊,27740000,0,27740000,2025-09-06
804,9/2采购绘卷文创 - 梦境入画【鬼灭之刃系列收藏卡砖】,咸鱼,Kimetsu No Yaiba - Khung Th? ??c Bi?t绘卷文创 - 梦境入画【鬼灭之刃系列收藏卡砖】,6460000,0,6460000,2025-09-02
